place_name,reviewer_name,review_rating,review_date,review_text,local_guide,scraped_at
Parco Lambertenghi,Emanuele Rosso,4,7 months ago,A city park offering spaces for athletes and children. The municipality should invest some money to improve the very dated sports facilities.,False,2026-04-20T21:20:19.387320
Parco Lambertenghi,Maurizio Isalberti,4,Edited 9 months ago,Evening with friends.,False,2026-04-20T21:20:21.454063
Parco Lambertenghi,Alessandro Carrer,4,a year ago,Comfortable,False,2026-04-20T21:20:21.477566
Parco Lambertenghi,Monica Artaria,4,a year ago,It's cute for the little ones!,False,2026-04-20T21:20:22.521934
Parco Lambertenghi,Mattia Amato,5,a year ago,One of the few parks in Lugano that is well-organized and has plenty of shade (especially the playgrounds!),False,2026-04-20T21:20:23.569642
Parco Lambertenghi,Adriano Manini,5,2 years ago,Great beautiful place,False,2026-04-20T21:20:26.659789
Parco Lambertenghi,L. D'Addazio,5,2 years ago,Very quiet park with children's games and benches where you can rest or spend a quiet lunch break.,False,2026-04-20T21:20:27.705693
Parco Lambertenghi,Felix Majowski,5,3 years ago,"Nice, spacious, on the promenade with a view of the lake",False,2026-04-20T21:20:28.751461
Parco Lambertenghi,Zeshan Haider,5,Edited 3 years ago,Best place for families and kids,False,2026-04-20T21:20:28.776678
Parco Lambertenghi,Françoise Algisi,5,Edited 3 years ago,Well-equipped and clean playground,False,2026-04-20T21:20:29.822500
Parco Lambertenghi,Livio Panzeri,3,3 years ago,There are no toilets 🚻 …,False,2026-04-20T21:20:29.847707
Parco Lambertenghi,Carmelita Meduri,5,3 years ago,"Calm, clean, welcoming, relaxing",False,2026-04-20T21:20:32.934430
Parco Lambertenghi,Ratnam Krishnasamy,4,4 years ago,Good for everyone 👍 …,False,2026-04-20T21:20:41.129852
Parco Lambertenghi,Pigna d’oro,5,4 years ago,Handsome,False,2026-04-20T21:20:42.177192
Parco Lambertenghi,K. T. (Sky aladin),4,4 years ago,Small park renovated for children,False,2026-04-20T21:20:45.264415
Parco Lambertenghi,Andrea Violetti,5,4 years ago,Beautiful park in the center,False,2026-04-20T21:20:45.288461
Parco Lambertenghi,Noe Tel,5,4 years ago,Beautiful and very popular,False,2026-04-20T21:20:47.354339
Parco Lambertenghi,Nicola Giglio,4,4 years ago,"When you have drugs they always stop you, when you have simple CBD you don't see a policeman even if you pay him",False,2026-04-20T21:20:50.446799
Parco Lambertenghi,Paolo Allegro,1,4 years ago,"I grew up in that neighborhood and it was wonderful, both the school, with free dentist for the children, the park with structures for playing soccer, basketball, mini hockey, we invented it but now it's deserted few kids go there thanks to the consoles to play now the children no longer play sports for fun, only very few once it was different, the game was life.",False,2026-04-20T21:20:50.471234
Parco Lambertenghi,Claudio Naldi,5,5 years ago,Always fun for kids,False,2026-04-20T21:20:51.519309
Parco Lambertenghi,Omar Zanolari,5,5 years ago,Perfect and right in the center,False,2026-04-20T21:20:51.546369
