place_name,reviewer_name,review_rating,review_date,review_text,local_guide,scraped_at
Parco Giochi,Lorenzo Grespi,4,7 months ago,"A little gem in a quiet neighborhood of Lugano. Well-kept, clean, and very quiet.",False,2026-04-20T21:24:42.671900
Parco Giochi,Andrea Fabris,4,11 months ago,"As of today, May 17, the entire soccer field and half of the basketball court are under maintenance.
We still had fun on the swings and slides, enjoying a picnic lunch comfortably at a wooden table with benches located in the shade of a tree.
The kids had a blast.",False,2026-04-20T21:24:43.703816
Parco Giochi,heidi stuessi,5,a year ago,"A great place for children and families. With various play options for all ages, picnic tables in the shade, and public restrooms on site.",False,2026-04-20T21:24:43.718651
Parco Giochi,Vicky Toro,5,a year ago,"Clean, with lots of toys for my granddaughter, she had so much fun!!",False,2026-04-20T21:24:44.746457
Parco Giochi,Françoise Algisi,5,a year ago,"Lots of equipment, table and benches, soccer field",False,2026-04-20T21:24:44.763288
Parco Giochi,Axel,3,2 years ago,Too many mosquitoes,False,2026-04-20T21:24:45.793808
Parco Giochi,Sinan Arslan,5,2 years ago,I used to go there as a kid... And it's changed for the better,False,2026-04-20T21:24:45.809441
Parco Giochi,Remus,3,3 years ago,"Small park but very beautiful and well-kept, there is a swing for the little ones and a double slide, bouncy castle and more, only three stars because there is a fountain but it is always turned off, a shame.",False,2026-04-20T21:24:47.853043
Parco Giochi,Roberto M. Casagrande,5,4 years ago,"It's too hot in summer, there are no trees",False,2026-04-20T21:24:47.869602
Parco Giochi,Flavio Forti,4,6 years ago,Beautiful park,False,2026-04-20T21:24:53.982277
